iter	Passed	Remaining
0	46	6893
1	86	6388
2	126	6206
3	167	6120
4	211	6131
5	253	6085
6	295	6044
7	336	5975
8	378	5927
9	417	5838
10	459	5806
11	500	5750
12	542	5720
13	584	5674
14	624	5621
15	667	5591
16	709	5554
17	748	5489
18	788	5433
19	828	5382
20	868	5333
21	911	5301
22	950	5248
23	988	5189
24	1030	5154
25	1076	5131
26	1118	5093
27	1160	5055
28	1205	5029
29	1247	4989
30	1290	4955
31	1334	4922
32	1378	4888
33	1422	4851
34	1464	4810
35	1508	4776
36	1549	4732
37	1591	4692
38	1632	4646
39	1673	4601
40	1714	4559
41	1756	4517
42	1797	4473
43	1838	4430
44	1880	4387
45	1925	4352
46	1970	4318
47	2013	4278
48	2056	4238
49	2102	4204
50	2149	4172
51	2194	4136
52	2244	4107
53	2289	4069
54	2336	4034
55	2383	4000
56	2427	3960
57	2469	3917
58	2514	3878
59	2556	3835
60	2599	3793
61	2641	3749
62	2681	3702
63	2721	3657
64	2763	3614
65	2805	3570
66	2847	3527
67	2887	3482
68	2933	3443
69	2978	3403
70	3019	3359
71	3062	3317
72	3108	3278
73	3156	3241
74	3204	3204
75	3251	3165
76	3295	3124
77	3338	3081
78	3387	3044
79	3431	3002
80	3473	2958
81	3511	2912
82	3553	2868
83	3593	2823
84	3635	2779
85	3677	2736
86	3718	2692
87	3759	2648
88	3801	2605
89	3843	2562
90	3882	2517
91	3924	2473
92	3966	2431
93	4008	2387
94	4051	2345
95	4091	2301
96	4131	2257
97	4173	2214
98	4213	2170
99	4256	2128
100	4298	2085
101	4338	2041
102	4377	1997
103	4415	1953
104	4456	1909
105	4498	1867
106	4542	1825
107	4581	1781
108	4626	1740
109	4669	1697
110	4711	1655
111	4756	1613
112	4801	1572
113	4843	1529
114	4887	1487
115	4928	1444
116	4971	1402
117	5013	1359
118	5055	1316
119	5097	1274
120	5143	1232
121	5184	1189
122	5226	1147
123	5266	1104
124	5307	1061
125	5348	1018
126	5390	976
127	5431	933
128	5473	891
129	5514	848
130	5557	806
131	5598	763
132	5642	721
133	5684	678
134	5723	635
135	5764	593
136	5807	551
137	5849	508
138	5892	466
139	5935	423
140	5975	381
141	6020	339
142	6060	296
143	6100	254
144	6145	211
145	6187	169
146	6230	127
147	6273	84
148	6321	42
149	6367	0
